"date_time","msa","wind_speed","saws_temp","hrseg","timepoint"
2013-04-21,0.0112965911218696,4.5,19.9,195,2013-04-21 11:39:26
2013-04-21,0.00475059988753812,4.5,19.9,196,2013-04-21 11:43:26
2013-04-21,0.0211007198597832,4.5,19.9,196,2013-04-21 11:45:16
2013-04-21,0.0205989443310493,4.5,19.9,196,2013-04-21 11:47:11
2013-04-21,0.0323172124204325,4.5,19.9,197,2013-04-21 11:50:54
2013-04-21,0.0329338084167361,4.5,19.9,197,2013-04-21 11:52:45
2013-04-21,0.0519971391712333,4.5,19.9,197,2013-04-21 11:54:35
2013-04-21,0.0239273232404762,4.5,19.9,197,2013-04-21 11:56:31
2013-04-21,0.0387483690952339,4.3,20.5,198,2013-04-21 12:00:27
2013-04-21,0.0849050360431723,4.3,20.5,198,2013-04-21 12:02:20
2013-04-21,0.0343696966525417,4.3,20.5,198,2013-04-21 12:04:11
